0.11955116078134509, 29746947040872.094
0.39874858114174927, 39055759070019.25
0.6255964851845786, 50654272534401.86
0.8175447116823555, 65090271314791.89
0.9920430994076082, 84992803310032.02
1.1490916483603364, 111761023782266.03
1.2886903585405385, 145003615868038.72
1.4282890687207406, 190150138007315.66
1.5678877789009427, 249732919214839.9
1.7249363278536691, 335461524187076.8
1.8994347155789217, 446112939547695
2.108832780849225, 592437136829670.8
2.405480039982155, 781297578307736.6
3.0430703028244235, 1025753508347175.6
3.6793182703764984, 1174023059513044.5
4.342412143732458, 1410130312064227.8
5.249803759903772, 2050007490050675.2
5.947797310804782, 2685749599601436
6.6806905392508416, 3239226697435886
7.413583767696904, 3572882931951908.5
8.146476996142964, 3748034959111433.5
8.879370224589026, 3807202232530613
9.612263453035085, 3778598592953463
10.345156681481148, 3700505101696907.5
11.11026499689187, 3655127154047036.5
11.81094313837327, 3569775299348399
12.54383636681933, 3506152619592512
13.276729595265389, 3438673242163098
14.009622823711451, 3382288815499174.5
14.74251605215751, 3316231294556617
15.475409280603573, 3262800816919462.5
16.20830250904963, 3192588205199008.5
16.941195737495697, 3145708658397515.5
17.674088965941756, 3092333608056402
18.406982194387815, 3040746054997407
19.139875422833875, 2990886498457000
19.87276865127994, 2946968713083364.5
20.605661879726, 2894446066429009.5
21.33855510817206, 2843684211750651
22.07144833661812, 2791382591461394
22.804341565064185, 2746408374682657
23.537234793510244, 2703726771421050.5
23.95603092405085, 2674089804383584
24.505672609400328, 2616317328705742
25.12155591572121, 2557775410246350.5
25.73743922204214, 2514730218077307.5
